Modulator	Target	miRNA	CMI	p.value
ENSG00000114529	ENSG00000106665	MIMAT0000421	0.07238	1
ENSG00000106665	ENSG00000114529	MIMAT0000077	0.06893	0.061
ENSG00000106665	ENSG00000114529	MIMAT0000104	0.05735	0.387
ENSG00000106665	ENSG00000114529	MIMAT0000421	0.07803	1
ENSG00000123095	ENSG00000106665	MIMAT0000419	0.09337	0.001
ENSG00000123095	ENSG00000106665	MIMAT0000421	0.07938	1
ENSG00000123095	ENSG00000106665	MIMAT0000425	0.04403	0.029
ENSG00000106665	ENSG00000123095	MIMAT0000419	0.07713	0.001
ENSG00000106665	ENSG00000123095	MIMAT0000421	0.04909	1
ENSG00000106665	ENSG00000123095	MIMAT0000425	0.02614	0.103
ENSG00000135631	ENSG00000106665	MIMAT0000077	0.0326	0.048
ENSG00000135631	ENSG00000106665	MIMAT0000104	0.01403	0.461
ENSG00000135631	ENSG00000106665	MIMAT0000421	0.06785	1
ENSG00000106665	ENSG00000135631	MIMAT0000077	0.06043	0.018
ENSG00000106665	ENSG00000135631	MIMAT0000104	0.03746	0.411
ENSG00000106665	ENSG00000135631	MIMAT0000421	0.05258	1
ENSG00000100767	ENSG00000110427	MIMAT0000068	0.02233	0.085
ENSG00000100767	ENSG00000110427	MIMAT0000077	0.00554	0.911
ENSG00000100767	ENSG00000110427	MIMAT0000265	0.10582	0.001
ENSG00000100767	ENSG00000110427	MIMAT0000421	0.067	0.874
ENSG00000100767	ENSG00000110427	MIMAT0003301	0.02414	0.073
ENSG00000110427	ENSG00000100767	MIMAT0000068	0.01875	0.165
ENSG00000110427	ENSG00000100767	MIMAT0000077	0.02263	0.327
ENSG00000110427	ENSG00000100767	MIMAT0000265	0.13264	0.001
ENSG00000110427	ENSG00000100767	MIMAT0000421	0.1362	0.451
ENSG00000110427	ENSG00000100767	MIMAT0003301	0.02087	0.109
ENSG00000105855	ENSG00000110427	MIMAT0000077	0.00777	0.432
ENSG00000105855	ENSG00000110427	MIMAT0000265	0.02527	0.249
ENSG00000105855	ENSG00000110427	MIMAT0000268	0.02422	0.396
ENSG00000105855	ENSG00000110427	MIMAT0000421	0.0352	0.996
ENSG00000110427	ENSG00000105855	MIMAT0000077	0.00952	0.999
ENSG00000110427	ENSG00000105855	MIMAT0000265	0.02471	0.652
ENSG00000110427	ENSG00000105855	MIMAT0000268	0.03047	0.086
ENSG00000110427	ENSG00000105855	MIMAT0000421	0.07832	1
ENSG00000106348	ENSG00000110427	MIMAT0000077	0.01802	0.171
ENSG00000106348	ENSG00000110427	MIMAT0000243	0.03151	1
ENSG00000106348	ENSG00000110427	MIMAT0000421	0.07317	0.799
ENSG00000110427	ENSG00000106348	MIMAT0000077	0.04381	0.104
ENSG00000110427	ENSG00000106348	MIMAT0000243	0.08933	0.739
ENSG00000110427	ENSG00000106348	MIMAT0000421	0.08563	0.817
ENSG00000106665	ENSG00000110427	MIMAT0000077	0.02903	0.046
ENSG00000106665	ENSG00000110427	MIMAT0000421	0.10568	0.314
ENSG00000106665	ENSG00000110427	MIMAT0004957	0.01192	0.246
ENSG00000110427	ENSG00000106665	MIMAT0000077	0.01886	0.238
ENSG00000110427	ENSG00000106665	MIMAT0000421	0.12609	0.814
ENSG00000110427	ENSG00000106665	MIMAT0004957	0.01683	0.258
ENSG00000114529	ENSG00000110427	MIMAT0000068	0.03209	0.018
ENSG00000114529	ENSG00000110427	MIMAT0000077	0.01851	0.211
ENSG00000114529	ENSG00000110427	MIMAT0000421	0.07463	0.786
ENSG00000110427	ENSG00000114529	MIMAT0000068	0.03523	0.041
