geneA	geneB	mirnas
ENSG00000163596	ENSG00000135631	MIMAT0000080
ENSG00000163596	ENSG00000135631	MIMAT0000104
ENSG00000163596	ENSG00000135631	MIMAT0000421
ENSG00000163596	ENSG00000135631	MIMAT0002819
ENSG00000106665	ENSG00000123095	MIMAT0000419
ENSG00000106665	ENSG00000123095	MIMAT0000421
ENSG00000106665	ENSG00000123095	MIMAT0000425
ENSG00000106665	ENSG00000114529	MIMAT0000077
ENSG00000106665	ENSG00000114529	MIMAT0000104
ENSG00000106665	ENSG00000114529	MIMAT0000421
ENSG00000106665	ENSG00000106348	MIMAT0000077
ENSG00000106665	ENSG00000106348	MIMAT0000104
ENSG00000106665	ENSG00000106348	MIMAT0000419
ENSG00000106665	ENSG00000106348	MIMAT0000421
ENSG00000106665	ENSG00000100767	MIMAT0000077
ENSG00000106665	ENSG00000100767	MIMAT0000419
ENSG00000106665	ENSG00000100767	MIMAT0000421
ENSG00000106665	ENSG00000135631	MIMAT0000077
ENSG00000106665	ENSG00000135631	MIMAT0000104
ENSG00000106665	ENSG00000135631	MIMAT0000421
ENSG00000123095	ENSG00000114529	MIMAT0000421
ENSG00000123095	ENSG00000114529	MIMAT0002819
ENSG00000123095	ENSG00000106348	MIMAT0000243
ENSG00000123095	ENSG00000106348	MIMAT0000419
ENSG00000123095	ENSG00000106348	MIMAT0000421
ENSG00000123095	ENSG00000100767	MIMAT0000255
ENSG00000123095	ENSG00000100767	MIMAT0000419
ENSG00000123095	ENSG00000100767	MIMAT0000421
ENSG00000123095	ENSG00000100767	MIMAT0004958
ENSG00000123095	ENSG00000135631	MIMAT0000421
ENSG00000123095	ENSG00000135631	MIMAT0002819
ENSG00000114529	ENSG00000106348	MIMAT0000077
ENSG00000114529	ENSG00000106348	MIMAT0000104
ENSG00000114529	ENSG00000106348	MIMAT0000421
ENSG00000114529	ENSG00000100767	MIMAT0000068
ENSG00000114529	ENSG00000100767	MIMAT0000077
ENSG00000114529	ENSG00000100767	MIMAT0000421
ENSG00000114529	ENSG00000135631	MIMAT0000068
ENSG00000114529	ENSG00000135631	MIMAT0000077
ENSG00000114529	ENSG00000135631	MIMAT0000104
ENSG00000114529	ENSG00000135631	MIMAT0000421
ENSG00000114529	ENSG00000135631	MIMAT0002819
ENSG00000114529	ENSG00000135631	MIMAT0003150
ENSG00000106348	ENSG00000100767	MIMAT0000077
ENSG00000106348	ENSG00000100767	MIMAT0000419
ENSG00000106348	ENSG00000100767	MIMAT0000421
ENSG00000106348	ENSG00000135631	MIMAT0000077
ENSG00000106348	ENSG00000135631	MIMAT0000104
ENSG00000106348	ENSG00000135631	MIMAT0000421
ENSG00000100767	ENSG00000135631	MIMAT0000068
ENSG00000100767	ENSG00000135631	MIMAT0000077
ENSG00000100767	ENSG00000135631	MIMAT0000250
ENSG00000100767	ENSG00000135631	MIMAT0000421
